pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj121,,,identity theft,6/2/06,photo,,Photos by Clint Fisher,121,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj121/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj121/full/full/0/default.jpg,/img/derivatives/iiif/obj121/manifest.json
obj122,,,Oneida Silver,6/2/06,photo,,Photos by Clint Fisher,122,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj122/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj122/full/full/0/default.jpg,/img/derivatives/iiif/obj122/manifest.json
obj123,Henry Hall,,Gen. James Clinton,c. 1861,print,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection, The New York Public Library",http://digitalcollections.nypl.org/items/510d47da-2756-a3d9-e040-e00a18064a99,123,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj123/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj123/full/full/0/default.jpg,/img/derivatives/iiif/obj123/manifest.json
obj13,Steve Gonyea,Onondaga Nation,america1777,2005,painting,,,13,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj13/full/full/0/default.jpg,/img/derivatives/iiif/obj13/manifest.json
obj14,John Vanderlyn,,The Death of Jane McCrea,1804,painting,"Wadsworth Atheneum, Hartford, Connecticut, USA",https://commons.wikimedia.org/wiki/File:The_Death_of_Jane_McCrea_John_Vanderlyn_1804.jpeg,14,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj14/full/full/0/default.jpg,/img/derivatives/iiif/obj14/manifest.json
obj15,David Kanietakeron Fadden,online,Clearing Darkness: The First Condolence,2006,painting,,,15,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj15/full/full/0/default.jpg,/img/derivatives/iiif/obj15/manifest.json
obj16,,,Boyd-Parker Park 2,6/10/06,photo,,,16,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj16/full/full/0/default.jpg,/img/derivatives/iiif/obj16/manifest.json
obj17,Ernest Smith,,Driven from Home ,1936,painting,,,17,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj17/full/full/0/default.jpg,/img/derivatives/iiif/obj17/manifest.json
obj18,,,Little Beard's Town Map,6/10/06,map,,,18,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj18/full/full/0/default.jpg,/img/derivatives/iiif/obj18/manifest.json
obj19,,,Little Beards Town Marker,6/10/06,photo,,,19,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj19/full/full/0/default.jpg,/img/derivatives/iiif/obj19/manifest.json
obj2,Peter Jemison,online,At The Border,1984,painting,,,2,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json
obj20,,,Karmic Justice?,6/10/06,photo,,,20,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj20/full/full/0/default.jpg,/img/derivatives/iiif/obj20/manifest.json
obj21,,,The Bitter Waters,6/10/06,photo,,,21,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj21/full/full/0/default.jpg,/img/derivatives/iiif/obj21/manifest.json
obj22,,,The Scorched Earth,6/10/06,photo,,,22,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj22/full/full/0/default.jpg,/img/derivatives/iiif/obj22/manifest.json
obj23,,,Torches to Plough Shares,6/10/06,photo,,,23,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj23/full/full/0/default.jpg,/img/derivatives/iiif/obj23/manifest.json
obj24,,,Order of Battle,6/10/06,photo,,,24,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj24/full/full/0/default.jpg,/img/derivatives/iiif/obj24/manifest.json
obj25,,,Tortured Tree,6/10/06,photo,,,25,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj25/full/full/0/default.jpg,/img/derivatives/iiif/obj25/manifest.json
obj26,,,Boyd-Parker Park 1,6/10/06,photo,,,26,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj26/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj26/full/full/0/default.jpg,/img/derivatives/iiif/obj26/manifest.json
